"Indonesia ","ASIA (EX. NEAR EAST)         ",245452739,1919440,"127,9","2,85",0,"35,6",3200,"87,9","52,0","11,32","7,23","81,45",2,"20,34","6,25","0,134","0,458","0,408"
"Iran ","ASIA (EX. NEAR EAST)         ",68688433,1648000,"41,7","0,15","-0,84","41,58",7000,"79,4","276,4","8,72","1,39","89,89",1,17,"5,55","0,116","0,424","0,46"
"Iraq ","NEAR EAST                          ",26783383,437072,"61,3","0,01",0,"50,25",1500,"40,4","38,6","13,15","0,78","86,07",1,"31,98","5,37","0,073","0,666","0,261"
"Ireland ","WESTERN EUROPE                     ",4062235,70280,"57,8","2,06","4,99","5,39",29600,"98,0","500,5","15,2","0,03","84,77",3,"14,45","7,82","0,05","0,46","0,49"
"Isle of Man ","WESTERN EUROPE                     ",75441,572,"131,9","27,97","5,36","5,93",21000,,"676,0",9,0,91,3,"11,05","11,19","0,01","0,13","0,86"
"Israel ","NEAR EAST                          ",6352117,20770,"305,8","1,31","0,68","7,03",19800,"95,4","462,3","16,39","4,17","79,44",3,"17,97","6,18","0,026","0,317","0,657"
"Italy ","WESTERN EUROPE                     ",58133509,301230,"193,0","2,52","2,07","5,94",26700,"98,6","430,9","27,79","9,53","62,68",,"8,72","10,4","0,021","0,291","0,688"
"Jamaica ","LATIN AMER. & CARIB    ",2758124,10991,"250,9","9,30","-4,92","12,36",3900,"87,9","124,0","16,07","10,16","73,77",2,"20,82","6,52","0,049","0,337","0,615"
"Japan ","ASIA (EX. NEAR EAST)         ",127463611,377835,"337,4","7,87",0,"3,26",28200,"99,0","461,2","12,19","0,96","86,85",3,"9,37","9,16","0,017","0,258","0,725"
"Jersey ","WESTERN EUROPE                     ",91084,116,"785,2","60,34","2,76","5,24",24800,,"811,3",0,0,100,3,"9,3","9,28","0,05","0,02","0,93"
"Jordan ","NEAR EAST                          ",5906760,92300,"64,0","0,03","6,59","17,35",4300,"91,3","104,5","2,67","1,83","95,5",1,"21,25","2,65","0,033","0,287","0,68"
"Kazakhstan ","C.W. OF IND. STATES ",15233244,2717300,"5,6","0,00","-3,35","29,21",6300,"98,4","164,1","7,98","0,05","91,97",4,16,"9,42","0,067","0,386","0,547"
"Kenya ","SUB-SAHARAN AFRICA                 ",34707817,582650,"59,6","0,09","-0,1","61,47",1000,"85,1","8,1","8,08","0,98","90,94","1,5","39,72","14,02","0,163","0,188","0,651"
"Kiribati ","OCEANIA                            ",105432,811,"130,0","140,94",0,"48,52",800,,"42,7","2,74","50,68","46,58",2,"30,65","8,26","0,089","0,242","0,668"
"Korea, North ","ASIA (EX. NEAR EAST)         ",23113019,120540,"191,8","2,07",0,"24,04",1300,"99,0","42,4","20,76","2,49","76,75",3,"15,54","7,13","0,3","0,34","0,36"
"Korea, South ","ASIA (EX. NEAR EAST)         ",48846823,98480,"496,0","2,45",0,"7,05",17800,"97,9","486,1","17,18","1,95","80,87",3,10,"5,85","0,033","0,403","0,563"
"Maldives ","ASIA (EX. NEAR EAST)         ",359008,300,"1196,7","214,67",0,"56,52",3900,"97,2","90,0","13,33","16,67",70,2,"34,81","7,06","0,2","0,18","0,62"
"Oman ","NEAR EAST                          ",3102229,212460,"14,6","0,98","0,28","19,51",13100,"75,8","85,5",0,"0,14","99,74",1,"36,24","3,81","0,027","0,39","0,583"
"Pakistan ","ASIA (EX. NEAR EAST)         ",165803560,803940,"206,2","0,13","-2,77","72,44",2100,"45,7","31,8","27,87","0,87","71,26",1,"29,74","8,23","0,216","0,251","0,533"
"Palau ","OCEANIA                            ",20579,458,"44,9","331,66","2,85","14,84",9000,"92,0","325,6","8,7","4,35","86,95",2,"18,03","6,8","0,062","0,12","0,818"
"Panama ","LATIN AMER. & CARIB    ",3191319,78200,"40,8","3,18","-0,91","20,47",6300,"92,6","137,9","7,36","1,98","90,66",2,"21,74","5,36","0,068","0,156","0,776"
"Peru ","LATIN AMER. & CARIB    ",28302603,1285220,"22,0","0,19","-1,05","31,94",5100,"90,9","79,5","2,89","0,4","96,71","1,5","20,48","6,23","0,08","0,27","0,65"
"Russia ","C.W. OF IND. STATES ",142893540,17075200,"8,4","0,22","1,02","15,39",8900,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
"Rwanda ","SUB-SAHARAN AFRICA                 ",8648248,26338,"328,4","0,00",0,"91,23",1300,"70,4","2,7","40,54","12,16","47,3",3,"40,37","16,09","0,401","0,229","0,37"
"South Africa ","SUB-SAHARAN AFRICA                 ",44187637,1219912,"36,2","0,23","-0,29","61,81",10700,"86,4","107,0","12,08","0,79","87,13",1,"18,2",22,"0,025","0,303","0,671"
"Spain ","WESTERN EUROPE                     ",40397842,504782,"80,0","0,98","0,99","4,42",22000,"97,9","453,5","26,07","9,87","64,06",3,"10,06","9,72","0,04","0,295","0,665"
"Sri Lanka ","ASIA (EX. NEAR EAST)         ",20222240,65610,"308,2","2,04","-1,31","14,35",3700,"92,3","61,5","13,86","15,7","70,44",2,"15,51","6,52","0,178","0,276","0,545"
"Swaziland ","SUB-SAHARAN AFRICA                 ",1136334,17363,"65,5","0,00",0,"69,27",4900,"81,6","30,8","10,35","0,7","88,95","2,5","27,41","29,74","0,119","0,515","0,366"
"United Arab Emirates ","NEAR EAST                          ",2602713,82880,"31,4","1,59","1,03","14,51",23200,"77,9","475,3","0,6","2,25","97,15",1,"18,96","4,4","0,04","0,585","0,375"
"United Kingdom ","WESTERN EUROPE                     ",60609153,244820,"247,6","5,08","2,19","5,16",27700,"99,0","543,5","23,46","0,21","76,33",3,"10,71","10,13","0,005","0,237","0,758"
"United States ","NORTHERN AMERICA                   ",298444215,9631420,"31,0","0,21","3,41","6,5",37800,"97,0","898,0","19,13","0,22","80,65",3,"14,14","8,26","0,01","0,204","0,787"
